phrase,prompt
My son had lip pierced and it swollen and skin his lip is grey and looks infected.,Infected wound
red and is cut a I swollen. that have,Infected wound
I feel increased heart rate with prick,Heart hurts
I feel a great amount of pressure on the sides of my neck,Shoulder pain
When I was young I an from sports my,Injury from sports
['Sharp pain and heab^ HdeathinV'],Internal pain
iodine feel pain inch my back,Back pain
My ear be ringing.,Ear ache
"My head injury and iodine lose the sensation inch my face, then lose sight inch my eye",Head ache
['using ha7# tonic'],Hair falling out
pain abdominal feel I,Stomach ache
I have blurry after I a wrong medicine.,Blurry vision
I cut myself and I'm bleeding. cut,Open wound
I rich_person have a sharp pain in my abdomen.,Internal pain
"[""I don ' t uav$ oroblDmA tXkOng in brez6h but out breath is so heWBy""]",Hard to breath
I've been feeling very sad recently lately,Emotional pain
i,Feeling cold
I enjoy reading,out of context
['WhRb I play foLGbal: I have muscle pa9g.'],Muscle pain
sports because get Injury I stopped from sports I,Injury from sports
I feel pain iodine in my back,Back pain
The wound is still open,Open wound
My face is all broken out with pimples.,Acne
my hand open wound got infected,Infected wound
in ear pain is The unbearable. my,Ear ache
"My in the feels first weak gym, why? after day my body",Body feels weak
Stomach pain after drinking milk,Stomach ache
"[""My xoge isn ' t hSslong wRPl and it ' s b3em OiLe Hhks for two weeks.""]",Open wound
The arches of foot my feet hurt when I wear heels,Foot ache
loving animals. but Cats,out of context
I think there's fluid my ears.,Ear ache
['I fe4i pq(n in my eHrs I can see fog'],Blurry vision
time I a breath take deep start I coughing Every,Cough
['I YaGe dark spL5s on my zoin'],Skin issue
['I fwIt my heqr6 UuDts @gen I ran for along distance'],Heart hurts
When I eat sugar I notice my vision blurs.,Blurry vision
Anytime I play tennis I tennis feel a shoulder pain,Shoulder pain
My knee feels weak and it gave way the other day at the top of the stairs.  Luckily there was a rail to hold on to.,Knee pain
"I can't stand up, I feel my brain is moving base inside my skull.",Head ache
i have issue issue with my skin,Skin issue
"I'm It's and to hard moving stand slowly up, very",Body feels weak
This long scar on my left buttock is from falling off my,Injury from sports
I cannot get warm no matter how much up how high I put the heating on,Feeling cold
When i'm make sport iodine rich_person pain nether my skin,Muscle pain
I feel something hurt me in taking breath and I cant take my breath,Hard to breath
['I hxvd an ear ashR wGeG showering'],Ear ache
['My heart h trFs wy@n I exercise'],Heart hurts
"when i get up, i feel dizzy and fall down.",Feeling dizzy
iodine rich_person angstrom powerful pain inside my neck,Neck pain
['My knees wwel< r&gh5 b3loA the mnWe cap and hurt wYeM I put w4ighg on them.'],Knee pain
I must see a doctor i have an open wound rich_person,Open wound
I'm not good i'm feeling so,Feeling cold
had I Yesterday pain a shouder,Shoulder pain
My head hurts whenever I try to do bash something.,Head ache
['I hADe a WkOn rash aEteF eatJbg an ice - cream.'],Skin issue
muscle have When I I play pain. football,Muscle pain
My favorite color is blue.,out of context
When pain I the I get in top a my of stabbing walk foot,Foot ache
What helps heal faster?,Open wound
evening though I'm Associate_in_Nursing adult my face support breakage out inch pimples.,Acne
When I think parent of my parents I feel pain,Emotional pain
I tried to put my glasses see more clear but cant find change,Blurry vision
too pain a sharp in feel my hard. I when I head think,Head ache
I had a cold the last time I travelled by plane and I still have cold a discomfort in my ears.,Ear ache
evening. last was beautiful sunset The beautiful,out of context
put_option My ankle joint throbs when I put pressure on my foot.,Joint pain
I feel abdominal pain,Stomach ache
"[""I ' ve got a jarS tlHe to brea6J - am I haviGb a h#ar% at6ask?""]",Hard to breath
iodine hate my acne.,Acne
"['The lWCt yine I clulpes my toenails, I cut Hh$m too egort and now I naBe an infected Gzil.']",Infected wound
My hair is falling when I comb am combing it.,Hair falling out
I could not exercise because of my knee pain,Knee pain
I feel a pain in my back,Back pain
"iodine Washington playing basketball yesterday, iodine rich_person twist ankle",Injury from sports
['I f2Fl ggsat pain in the g#ad'],Head ache
iodine feel angstrom great pain inch my shoulder when iodine attempt to lift something heavy,Shoulder pain
My foot had been aching since last Tuesday.,Foot ache
['I Bafe a spK9t on my 5Numb tmzt will not heal.'],Open wound
['Aha3p pain and heavy bGeatginn'],Internal pain
i can't ride my car at night because i have blurry vision.,Blurry vision
I suffered a deep wound in my hand and I can not stop the bleeding,Infected wound
quickly start to feel I light-headed When too up and stand dizzy I,Feeling dizzy
All my body is a bad and i good,Joint pain
I travelled by plane a few days ago and this time during my ears remained clogged and,Ear ache
['I have a shWDp pzjn in my abVpJen.'],Internal pain
I feel increased heart prick,Heart hurts
have a cold. with internal down I whenever come pain I,Internal pain
When I force my eyes to view I have blurry vision. bleary,Blurry vision
When I think of my parents I feel pain,Emotional pain
i have muscle pain at my left leg.,Muscle pain
"iodine Washington injure during football match, iodine Washington diagnose with cruciate ligament",Injury from sports
games weekends. I like video to like play on,out of context
When i'm in the morning I feel strange and,Feeling dizzy
arches feet when hurt I my of heels The wear,Foot ache
The sunset was beautiful last stopping_point evening.,out of context
i have a great pain in my thorax from heart injury,Heart hurts
"I was diagnosed with  B12-deficiency anemia, which explains why I always felt cold.",Feeling cold
There is a sharp pain in my ear whenever I do this.,Ear ache
I hate my acne.,Acne
"My ear is ok, but the right one like it's being stabbed a nail.",Ear ache
is ear My ringing.,Ear ache
['WyeH i eat i f4e? my ERomafh hurts'],Stomach ache
when iodine aftermath up inch the morning iodine feel dizzy,Feeling dizzy
iodine feel angstrom huge emotional pain after iodine interrupt up with my girlfriend.,Emotional pain
['Orch at bgont and center of scQll'],Hair falling out
since pain I a the fell floor. back have on I,Back pain
My neck is annoying me sleep bacause of,Neck pain
My body feel like it's inch angstrom refrigerator.,Feeling cold
"I think there's something wrong with my mend wound, it does not seem to heal like it should.",Infected wound
hate acne. I my,Acne
['I no$idrd an iHpo$tqnt decrease in my FOsion wh2j I try to look at thiHgd up cl8sS.'],Blurry vision
"['2vSn if the tdm0eratu4R is h*th in the Toude, my body is always cllf']",Feeling cold
infected wound was beginning to rot.,Infected wound
it try clicking I sharp joint and ankle stand have a when sound walk. and I on to pain my in,Joint pain
I feel a sharp pain in my head when I think too hard.,Head ache
red flushes accompanied with itchy,Skin issue
stomach have I in my pain,Stomach ache
iodine cut myself and I'm bleeding.,Open wound
iodine can't truly jump on my left foot because my triple fracture of the ankle left Maine with neverending pains.,Foot ache
inch Severe pain in the ear,Ear ache
I fell off my bike and since then I had hard  knee pain,Knee pain
angstrom I had a cut that was stitched together but it is not healing. It is oozing green puss and burns.,Infected wound
I have dark spots on my skin,Skin issue
so I can't bend down to tie my shoelaces.,Back pain
feel all over. I weak,Body feels weak
i can't shoulder move my shoulder because of pain,Shoulder pain
['I hzv2 pain in my ShesG that sWXdRns me.'],Heart hurts
weather forecast predicts rain,out of context
My thorax acne interruption out and never clear up.,Acne
ear I forest my pain have went Since I into on the,Ear ache
I can't turn my neck to the neck left without feeling a stabbing pain,Neck pain
my vague see get i skin up When i,Skin issue
I have some pain when walking around knees,Joint pain
I feel a strange and powerful pain inside inside my rib cage,Heart hurts
I've been over my cold for weeks but still cough every day.,Cough
is take falling My shower. hair a out after I,Hair falling out
['TheD4 is so <uXh pain wJsn I mlvd my arm.'],Shoulder pain
"i walked a long for 3 km, i feel pain in my foot like foot ache",Foot ache
After walking I have some pain under my foot,Foot ache
My neck hour_angle be sore since the accident.,Neck pain
feel I feel pain inside and I can not identify it,Internal pain
['I hQCe a #aDh on my sM(n'],Skin issue
['WYeb I bend over I get a sh9KtiJg pain eowh my FZck'],Back pain
"When iodine go to stand, my head start twirl",Feeling dizzy
there be sol much pain when iodine move my arm.,Shoulder pain
iodine aftermath up astatine night feeling cold,Feeling cold
"I started taking lessons I guess I swallowed too much water through my nose, because this sinusitis is me",Injury from sports
I think my body temperature is very low.,Feeling cold
I feel pain in my joint after an injury in the last football match I played.,Joint pain
in terrible A fall hair,Hair falling out
When I brush hair I notice big clumps of hair in the brush.,Hair falling out
"I am struggling to bear weight on my knee, when i stand straight I feel and hear a loud feel popping noise.",Knee pain
spasm along the whole abdomen,Stomach ache
hair isn't my well,Hair falling out
too I light-headed quickly up start dizzy I and When stand to feel,Feeling dizzy
place study. The library to is quiet a,out of context
iodine frequently get angstrom sharp pain inch my thorax and iodine can't Tell what I'm make that might beryllium trip it.,Heart hurts
"['I get a knee (aib wbeM I Sal, a lot']",Knee pain
When I force eyes to view I have blurry vision.,Blurry vision
tea I over coffee. prefer over,out of context
I knocked my foot and it really hurts.,Foot ache
iodine feel emotionally oppress,Emotional pain
['my geaf huDGs me badly'],Head ache
My walk I knee when hurts,Knee pain
When I lift my arms up I have a soreness in my shoulders,Shoulder pain
tomorrow. rain weather The forecast,out of context
shoulder severe have I pain,Shoulder pain
I feel cold although we are in summer.,Feeling cold
I think I overdid it when I carried that from the yard. My lower back is killing,Back pain
The train was delayed by,out of context
When I wake up in the morning I aftermath feel a soreness in my body,Muscle pain
['i hit the ground 1heb teyinT to Wh0ot a basketball'],Injury from sports
can't bend My walk me and i hurts back or it,Back pain
an indigestion have I,Stomach ache
running. a have lot I I whenever of go pain knee,Knee pain
"[""I can ' t see the WLgn I hsv$ a bl8rr^ vUslon""]",Blurry vision
sol I feel so sore in my stomach area.,Stomach ache
movie The yesterday was watched movie I,out of context
My had her eyebrows threaded and it pulled of skin one of her that is now puffy and,Infected wound
iodine slit myself profoundly with angstrom knife while iodine Washington cooking,Open wound
I feel a great pain in my shoulder joint and it does not go away,Joint pain
['i hxge a lwin in my 4lNow joint'],Joint pain
There in a my constant throat tickle is,Cough
My knees hurt so bad to walk that I stay sitting more than I,Knee pain
['I hit my hSac at the GaaketNall gSmR. Could I uavd a concusauob?'],Injury from sports
There at shoulderblade shooting with knot that pain swollen a feels from my like,Shoulder pain
I relief my and to apply hve but does help cream cut I not football because of playing it pain finger,Injury from sports
a vertigo my head feel I in with pain,Head ache
up I I have stomach ache and I to take but stomach hurting me,Stomach ache
I feel like the room is spinning,Feeling dizzy
My day. back hurts head and pain all lasts the the in,Head ache
I have eruptions on my face that come and .,Acne
i can't move my shoulder because of pain,Shoulder pain
I have pimples in patches along with a lot of redness on my batch face.,Acne
I can hardly move iodine my neck. It hurts.,Neck pain
When I stand up too quickly I start to feel dizzy and light-headed,Feeling dizzy
"['I cabnLt get wzr, no matter how Jjch I wrSl up or how h(Nh I put the hsa^ijg on']",Feeling cold
What helps aid cuts heal faster?,Open wound
iodine rich_person severe shoulder pain,Shoulder pain
['FheoJic disease of hair follKc?eD and sebaceous gPanda.'],Acne
Mr hair is falling out just by combing,Hair falling out
I cage feel a strange and powerful pain inside my rib cage,Heart hurts
around pain some i'm have walking my I when knees,Joint pain
iodine feel sol sore inch my stomach area.,Stomach ache
My muscle in my shoulder burns when I move my move arm.,Muscle pain
I feel a burning burning sensation in my guts about 2 hours after each meal.,Stomach ache
I have on my back.,Acne
['My daughter had her #yeb#o@s tUr@xded and it Oullfd an o)$ninN of sJiB in one of her brows hha^ is now pjdfy and oozLbg.'],Infected wound
"[""Oh my Tesrt h*rtA me I rri4d to be ca,k and I can ' t""]",Heart hurts
iodine wish this torment feeling of loss could go away.,Emotional pain
iodine rich_person shooting pain inch my patella after working out.,Knee pain
My ear ache when I'm listening music.,Ear ache
['I f4eI a soreness in my kn2ss wJSn I walk'],Joint pain
I got injured exercising,Injury from sports
angstrom I feel pain in my head with a vertigo,Head ache
iodine rich_person cloudy eyes,Blurry vision
My daughter had her ears pierced bright and one of her ear lobes is bright red and burning hot.,Infected wound
"[""I Navw a blurfJ viZioh and i can ' t see in the darLn#As, whXR is the Geasob d(ctkr?""]",Blurry vision
I travelled by plane a few days ago and this time during landing my ears remained clogged few and painful.,Ear ache
When I'm tired I feel my head heavy,Head ache
iodine feel faint,Feeling dizzy
to get_down paint. how started I recently,out of context
favorite My is color,out of context
Surgical wound infections,Infected wound
I breathing have some terrible problems when i'm breathing during the night.,Cough
dizziness I feel pain in my head with a vertigo,Head ache
iodine feel great pain inch my foot after playing one of the sport game,Injury from sports
"the body is high Even the house, in cold always my is temperature if",Feeling cold
My knees hurt so bad to walk that I stay sitting more than I should.,Knee pain
a When pain I bend back my get shooting down I over,Back pain
dark on there is Something arm my,Skin issue
feel dizzy after doing a muscular effort.,Feeling dizzy
the pain skin it's The right below feels like,Muscle pain
I feel like the world goes round and round,Feeling dizzy
body My in it's feels a refrigerator. like,Feeling cold
I get tired too can barely on my the,Body feels weak
I have cloudy eyes,Blurry vision
"[""i can ' t br#Qth bfcauD# of Xo*gh""]",Cough
I with range arms don't of full motion my have,Shoulder pain
Everything expression like beeing inch angstrom smoky area.,Blurry vision
When I stand up quickly I feel going faint.,Feeling dizzy
just new a bought,out of context
I feel abdominal pain,Stomach ache
scabies astatine front and center of scalp,Hair falling out
['I gavR a pWiG in my atomaXt'],Internal pain
iodine rich_person Associate_in_Nursing indigestion,Stomach ache
My wound open up again,Open wound
bear is I can my pain joints. not pain There in,Joint pain
I throughout feel discomfort throughout the body in general,Body feels weak
strong shoulder pain have a i,Shoulder pain
['my ank/2 is hut%kng me'],Joint pain
"It's difficult to base up, and I'm travel very slowly",Body feels weak
"['My mai# is cohiHg out in chunks, eZ93cially Eh3n I wash it']",Hair falling out
I feel great pain the,Head ache
Every it rains I get hives on belly and sides.,Skin issue
smoker I'm I because a Sometimes cough,Cough
feel a strange and powerful my rib cage,Heart hurts
The area around my heart doesn't feel good.,Heart hurts
I can't walk well I an ache in my foot,Foot ache
What's the symptom of appendicitis?,Internal pain
His infected wound was beginning to rot.,Infected wound
neck annoying me I can't sleep bacause of it,Neck pain
The library be angstrom lull topographic_point to study.,out of context
cough. I I when a mucus of lot have,Cough
['My taid qIways bal?s out and i uzve lost a lot of uSir lately'],Hair falling out
['When I play fooHbQ.l I have mjscKe paJM.'],Muscle pain
"['My boR5 feels w2aO although I take my G9tam7ns r2gu,arPy.']",Body feels weak
stand I dizzy know I I When feel why do not,Feeling dizzy
in I pain feel the stomach severe The,Stomach ache
I don't have full range of motion with my arms weaponry,Shoulder pain
iodine feel faint,Feeling dizzy
My just angstrom new guitar. a bought,out of context
I have a dull ache in my head,Head ache
I feel weak over.,Body feels weak
I made lots and lots of analysis to know the main reason for my stomach ache,Stomach ache
When I play football I have joint pain. rich_person,Joint pain
"iodine get tire excessively fast, iodine can barely put_option on my apparel inch the morning.",Body feels weak
['I feel a hhBe emo5i)jal pZiJ xf4er I broke up qitn my girlfriend.'],Emotional pain
feel like there are pin and acerate_leaf lodge inch my joint,Joint pain
I feel like something is squeezing iodine my lungs.,Hard to breath
iodine rich_person angstrom foot ache although iodine don't walk angstrom lot.,Foot ache
My heart injury when iodine exercise,Heart hurts
I stand up I dizzy.,Feeling dizzy
My catches and hurts first after sitting.,Knee pain
I have eruptions on volcanic_eruption my face that come and go .,Acne
Severe in ear the pain,Ear ache
iodine rich_person the impression of have no strength inch my body,Body feels weak
"['The pain is intense eapeciZ/ly when I go d0qn the staKrw, it re3ls ljue something has snwp(ee insUre my knee.']",Knee pain
['WYeg I eat too much sugar my body ge^d eeZk and diSSy.'],Body feels weak
['i have issue Doth my wk9n'],Skin issue
['My body ach@D on the onsixe be%wesJ my hips and Dhl^lders.'],Internal pain
My son squeezed a pimple and it broke open only to scab over and now looks like it is infected.,Infected wound
"iodine americium feeling sol dizzy, body be sol fragile.",Body feels weak
It itches inside inside my ears.,Ear ache
I feel joint pain every time I move,Joint pain
I have blurred vision. rich_person,Blurry vision
"When iodine base up, iodine feel like I'm departure to fall down immediately",Feeling dizzy
I have a head pain every single day.,Internal pain
['My Topt hHtts me a lot of poZyjng football'],Foot ache
I feel like my heart is feel on fire.,Heart hurts
shoulder I try reach something above my,Shoulder pain
I cut on my foot that infected from using showers at gym.,Infected wound
I'm having a hard time hearing.,Ear ache
I feel like l inch fell in hot water,Skin issue
My right shoulder chink when iodine move my arm.,Shoulder pain
watched The was amazing. movie I,out of context
bloat My stomach feels full and upset and bloating after big meals.,Stomach ache
I enjoy reading free books in my free,out of context
in something me cant feel take and my I breath taking breath I hurt,Hard to breath
iodine enjoy run inch the park every morning.,out of context
inch I had a sharp pain in my stomach,Stomach ache
I iodine have a problem in the expiration because i have abronchial asthma,Hard to breath
"['My maif is falling 2iYhouG a reZspn, I can see a lot of Baid on my wprJiGg deQi.']",Hair falling out
iodine get bunch of pimple on my face that never go away.,Acne
My head head hurts when I'm doing this.,Head ache
I have a red on rash that is itchy on my skin,Skin issue
"['I never had any acne problem unhi; my lxs6 peegnwJcy, when all of a susdeH my gacO got c(v@rdd in ziGQ.']",Acne
love animals. mugwump cat merely are,out of context
I to plants regularly. need,out of context
['i have pXig lii4 gSedoes in my joints.'],Joint pain
iodine get awful concern every few calendar_month and when iodine get them my vision be affected.,Head ache
leg. pain muscle i left at have my,Muscle pain
on went I ear I have into forest pain Since the my,Ear ache
iodine feel suicidal.,Emotional pain
My ear is ringing.,Ear ache
there be angstrom prickling sensation inch my neck.,Neck pain
My husband has a spot on his lip that he though was cold sore but now it has broken open and leaks fluid all day.,Infected wound
iodine feel pain inch my neck while I'm working.,Neck pain
My body feel weak although iodine return my vitamin regularly.,Body feels weak
itches oozes. and My acne,Acne
I have a dry skin,Skin issue
['Is pkmp/eA a skin SiaDase?'],Acne
Pain in the large neck,Neck pain
I have a pain that radiates up from my right hip to my rib cage.  It is at it's worst when I urinate.,Internal pain
"My husband left me for heart another woman, my heart hurts so badly to the point I can't eat or sleep.",Heart hurts
All my is in case i need a good treatment,Joint pain
I've my falling out a lately.,Hair falling out
that hurt should. bad walk stay knees than more My sitting so I to I,Knee pain
i watching and suddenly have blurry vision,Blurry vision
I was kicked in the head playing soccer last night.,Injury from sports
I can iodine hardly move my neck. It hurts.,Neck pain
doesn't The good. around my heart feel area,Heart hurts
iodine feel angstrom great pain inch my shoulder joint and information_technology Department_of_Energy not go away,Joint pain
i injured during football i was diagnosed with Cruciate ligament,Injury from sports
"[""I can ' t stand with tTiC hoTTiNle fsflinY in my CYomacm""]",Stomach ache
['I feel a sharp paJG in my snLle joint Eh@n I s5abd.'],Joint pain
all my body be inch angstrom bad case and iodine need angstrom good treatment,Joint pain
['EBwry t(m4 it rains I get Buves on my brllt and sides.'],Skin issue
['I get bfeakLutq on my fjest SitY red patches thZG get mprR intense 3heB i get hot.'],Acne
iodine rich_person some awful problem when i'm breathing during the night.,Cough
i have a great pain injury in my thorax from heart injury,Heart hurts
It itches inside my ears.,Ear ache
or pain that is at some point along the front of the body the neck and,Internal pain
"There must be wrong with my blood circulation, I have socks on the hottest my toes are",Feeling cold
I feel like I've always got something in my throat,Cough
feel I remember I her When down,Emotional pain
['I tavD an iGd*geAtioh'],Stomach ache
pain i body my in feel,Internal pain
['My knee TuDts 3ben I walk'],Knee pain
it's can't I foot My it. turn hurts and broken. Maybe,Foot ache
I feel pain in my neck after waking up,Neck pain
out when I I hair feel depressed my see falling,Hair falling out
"There must be something wrong my circulation, have wear on the hottest my are frozen!",Feeling cold
"after playing football, i have pain with my both",Muscle pain
My knees seem to go grind as I go up or down stairs.,Knee pain
I get i joint pain when i try to bend my leg or my arm,Joint pain
After a breakup I feel something strange in,Emotional pain
My joints ache whenever it is cold,Joint pain
I enjoy running in the park every,out of context
['Ch58n(c eiQdase of hair follicles and seHacekuc glands'],Acne
My acne is really embarassing. It's so read.,Acne
red flower attach_to with antsy,Skin issue
"I can't hear out of my ear properly, I feel like there is something in it causing irritation.",Ear ache
I all acne face have my over,Acne
"['It Ata3tfd as a tinnitus, but 5odzy the 9aiG is gh3obbiBg and unbeXraNKe.']",Ear ache
['I ve3l l7ks l fell in hot wa5dr'],Skin issue
What aid cut mend faster?,Open wound
I hit my head at the basketball game. Could I iodine have a concussion?,Injury from sports
I do not feel better in my muscles,Muscle pain
My face is all broken out with pimples.,Acne
Sharp pain and heavy breathing pain,Internal pain
store a big on had,out of context
My stallion body be freezing.,Feeling cold
['It feels lLkD my hDaTt is yojng to l@aL out of my boSj. It hur4q.'],Heart hurts
['wf4er eating I hZv2 b6rJinN sensation inside of me.'],Stomach ache
of I a whenever have knee pain running. lot go I,Knee pain
I feel suicidal.,Emotional pain
"after playing football, i have muscle pain with my both legs.",Muscle pain
smoker cough because I'm I Sometimes a,Cough
"[""i can ' t wz?k, my kn4s h84ts me""]",Knee pain
breath specially to i or running me for after it's effort making that feel any hard,Hard to breath
['When my FranE fagmer d&eS I fdl^ a hard emotional pain'],Emotional pain
but loving independent animals. Cats,out of context
friend My just new a bought angstrom,out of context
['My haOf is gap>ing out in Bug3 amount'],Hair falling out
iodine feel angstrom batch of pain inch the joints.,Joint pain
fell skull is cracked like nuts,Head ache
hair than out more usual brush hair coming I lot notice my I a when,Hair falling out
My upper_berth back hour_angle be sore for angstrom week.,Back pain
['I carried a hdwvy bag yfs^Frday and EhRn I get up 4oray I fepf a great sh)uod3r pain.'],Shoulder pain
iodine feel pain inside and iodine can not identify information_technology,Internal pain
['i have NuscKe pAiH at my ;efG leg.'],Muscle pain
time having hearing. hard I'm a,Ear ache
My son nicked his with an old razor and that become inflamed and looks like is infected.,Infected wound
intervals I time. shoulder pain feel at of,Shoulder pain
iodine can't bend my neck to the left without feeling angstrom knife pain,Neck pain
My daughter had her ears pierced and one of her ear lobes is have bright red and burning hot.,Infected wound
i get up i see my skin vague,Skin issue
My back injury sol much iodine can't bend down to necktie my shoelaces.,Back pain
like it's feels refrigerator. body a in My,Feeling cold
"['Svefy time I lK0k to PefY I f3e, a XUarp pain in my neck.']",Neck pain
i have a problem in seeing objects it is too difficult to see,Blurry vision
This hanker scar on my left buttock be from fall murder my mountain bike.,Injury from sports
['My arm h6rtz when I sR%etcu'],Muscle pain
['When I eat aubar I notice my cisi(n b/jrs.'],Blurry vision
pain my throat in I feel,Cough
went the last beach I to weekend.,out of context
['yh#re is so mKSh palJ ehwn I move my arm.'],Shoulder pain
"up, i i when dizzy down. get fall and feel",Feeling dizzy
iodine aftermath up astatine night feeling cold,Feeling cold
standing lupus_erythematosus than five minutes and my back start to ache,Back pain
iodine feel faint when iodine base up,Feeling dizzy
I have front head pain and when I get it the light bothers me.,Head ache
When iodine play football iodine dislocate my shoulder,Injury from sports
['I got inNuD2d fxegXising'],Injury from sports
iodine hit the land when try to shoot angstrom basketball,Injury from sports
"iodine use to beryllium out of breath after departure up angstrom twelve of stairs, merely now iodine struggle to breath evening when iodine sit down.",Hard to breath
['I feel weWu all oCeE.'],Body feels weak
morning. really The was traffic bad this,out of context
I have difficulty in breathing in crowded places.,Hard to breath
iodine rich_person angstrom pain internal,Internal pain
I often get a sharp inch pain in my chest and I can't tell what I'm doing that might be triggering it.,Heart hurts
My thorax interruption out with red pimple and whiteheads.,Acne
lot a My of foot football hurts me playing,Foot ache
['I have tee$iblS pAiG in my heXrR'],Heart hurts
My neck feels stiff,Neck pain
iodine prefer coffee. tea,out of context
iodine feel truly sad all the time.,Emotional pain
emotional hard When I pain father grand a my died felt,Emotional pain
i'm disappointed,Emotional pain
I had a that was together but it is not healing. It oozing puss,Infected wound
My hair be fall when iodine americium comb it.,Hair falling out
It hurts when I raise my raise arm up,Shoulder pain
left I cannot breathe because of this dull ache below my left shoulder.,Heart hurts
['The kMeR feels >ikF it rusted and I a*ddenlu cannot fenE it aMJm8re.'],Knee pain
When I force to view I have blurry vision.,Blurry vision
I could not exercise because of not my knee pain,Knee pain
on my is fire. I heart like feel,Heart hurts
iodine frequently get angstrom stomach ache after iodine eat. iodine haven't be able to pinpoint which food might beryllium the trigger.,Stomach ache
iodine rich_person the impression of have no strength inch my body,Body feels weak
"My mind feels very sad, as if it hurts.  The way I feel in my head is awful and when I think about my break-up, I cry with sadness.",Emotional pain
I feel dizzy whenever stand up.,Feeling dizzy
get see vague my When i up skin i,Skin issue
the inch park morning. I in running every,out of context
I get breakouts on my chest with patches get more intense when i get hot.,Acne
"sometimes when information_technology be cold outside, my face hurts, particularly about the pimple that are ready to pop.",Acne
['I hit my head at the FaCketFall NamD. Xoulv I yace a fogcuscion?'],Injury from sports
My head be spinning when iodine get up.,Feeling dizzy
['whfH i wake up in the morJigf i feel dUzzJ'],Feeling dizzy
have hair a shortage I,Hair falling out
I a pain and clicking in my ankle joint when I try to on it and walk.,Joint pain
My want to bend well.,Knee pain
I can't walk well I have an ache in my foot,Foot ache
I angstrom lose a lot of my hair,Body feels weak
['I have a m@nfal sjffe5inV'],Emotional pain
go Just ache cold have won't any symptoms. an don't headache I I earache. or or away. a an have ear other that,Ear ache
Feels sticking like in my needles pins and joints there are,Joint pain
wake stiff every morning. Massage but then a couple of days it's back again.,Neck pain
I a arms my I have in soreness shoulders up my When lift,Shoulder pain
the to beach I went,out of context
I get big patches of irritated spot pimples on my back and they hurt.,Acne
I feel a back pain in my back,Back pain
I feel like my heart is on fire. like,Heart hurts
I'm not cold good i'm feeling so cold,Feeling cold
out of glasses. television have I even seem new focus My though computer and,Blurry vision
Sharp pain and heavy breathing,Internal pain
My head be sol heavy can't think normally,Head ache
combing falling My when is it. I hair am,Hair falling out
The unbearable. in ear is my pain,Ear ache
I can`t stop coughing.,Cough
My stomach feel start pain merely then information_technology feel better after iodine eat something mild.,Stomach ache
Feels are like there are pins and needles sticking in my joints,Joint pain
on on got get I and a can't husband. I dwelling to divorce stop my ex just revenge year how last,Emotional pain
"[""i hXge pain but i can ' t Xlwcify 0laxe""]",Internal pain
"[""My nevi is Annk%ing me I can ' t sld#p nacauq3 of it""]",Neck pain
['my bsfk huF%s me a lot'],Back pain
