phrase,prompt
"feel a pain on the left side of my chest, where my is",Heart hurts
My wound was infected when planting some flowers in my garden,Infected wound
"redness, swelling, and difficulty walking",Knee pain
I complain alot with my neck pain neck and i really need to be better,Neck pain
My shoulder so much,Shoulder pain
"my child hour_angle cough all night, she can't sleep",Cough
"i have muscle pain that my back
I Have Muscle Pain at my back leg",Foot ache
I have a throbbing joint in my joints,Joint pain
"[""I ce@l like I ' ve WlwayA got sometniBB in my tBEoat""]",Cough
"I think there's something wrong with my wound, it does not seem to heal like it like should.",Infected wound
iodine cannot bear this squeeze sensation iodine rich_person inch my chest.,Heart hurts
My son had his lip pierced son and it is swollen and the skin inside on his lip is grey and looks infected.,Infected wound
My television and computer seem out of focus even though computer I have new glasses.,Blurry vision
My information_technology neck is annoying me I can't sleep bacause of it,Neck pain
['I feel lKkF the world gKew round and rkJnd'],Feeling dizzy
I feel pain in my head with a vertigo,Head ache
iodine rich_person angstrom bleary vision after my head Washington hit yesterday.,Blurry vision
"feel up, I skull. my I my inside can't brain stand is moving",Head ache
I can't stand atrocious with this horrible feeling in my shoulder,Shoulder pain
My chest hurts when I go to take a breath,Hard to breath
['I gesl great pr$saur2 in my cNeZt'],Hard to breath
My heart feels like it's going to explode.,Heart hurts
"I'm My sad, hurts heart while why?",Emotional pain
"i walked a long ache for 3 km, i feel pain in my foot like foot ache",Foot ache
I feel a iodine burning sensation in my shoulder muscle.,Muscle pain
I iodine feel a sharp pain in my head when I think too hard.,Head ache
"My face has broken out in painful red and lumps, that no matter much clean my don't seem to going away.",Acne
iodine feel very weak inch my body,Body feels weak
iodine cut my foot astatine the pool and information_technology interruption open every day when iodine walk on it.,Open wound
iodine feel angstrom sharp pain inch my stomach,Internal pain
on my whiteheads and I back. get of blackheads clusters,Acne
My skin is itching.,Skin issue
The pain feels like it's right below the skin,Muscle pain
['when i 4aKse my hQnR i fweO pain in my shK TldSr.'],Shoulder pain
"['There are tJmeC dheH I fSeP crushed under a huy3 weight and no air (Xssihg to my ,*ngs, it acthWliy AcXres the MelP out of me wNeG it happens.']",Hard to breath
can't really jump left because my triple fracture the ankle left with pains.,Foot ache
My husband has a spot on his lip now that he though was cold sore but now it has broken open and leaks fluid all day.,Infected wound
I iodine have pain in my colon and my stomach like something cutting it,Stomach ache
Even if the temperature is high in the my body is always,Feeling cold
"work. feel my tired of i indicate report hb, cbc little 10",Body feels weak
iodine feel angstrom sharp pain inch my stomach,Internal pain
"[""i can ' t Szlk, my kjer u^rts me""]",Knee pain
My wound was infected when i was planting some flowers in my garden,Infected wound
"away. painful and clean to face going matter how My face much spots in red I broken my seem that be no lumps, has out don't",Acne
['The pZih in my ear is ujbearsNle.'],Ear ache
There is a tingling sensation in my neck.,Neck pain
I'm not good i'm feeling so cold,Feeling cold
My get head is spinning when I get up.,Feeling dizzy
My stomach and upset and bloating after meals.,Stomach ache
iodine can't walk because iodine rich_person angstrom great foot ache,Foot ache
After an hard working day I have foot rich_person ache,Foot ache
I have a pain in pain my joint,Joint pain
['I feel a freZt (aib in my shoildd# <oUnt and it dowq not go away'],Joint pain
"[""I ' ve nFen 9ber my cold for weeks but d5ill xlugh eCe#y day.""]",Cough
injure I got injured exercising,Injury from sports
I feel a rib strange and powerful pain inside my rib cage,Heart hurts
The pain in my ear is unbearable.,Ear ache
iodine get angstrom knee pain when iodine walk angstrom batch,Knee pain
I iodine have pain in my chest that saddens me.,Heart hurts
iodine feel emotionally oppress,Emotional pain
['In h8ghsVh(ol I had a lot of acmd.'],Acne
I feel pain in my knee when I climb the iodine stairs.,Joint pain
is my cut infected or just healing?,Infected wound
I'm not hearing well I have problem with my ear,Ear ache
My knee hurts when I play squash,Knee pain
I had have a sharp pain in my stomach,Stomach ache
I feel like my heart on fire.,Heart hurts
a feel pain neck my I in,Neck pain
When iodine get up iodine see my skin obscure,Skin issue
['i was travelling by sUkp and i D4el d7zay.'],Feeling dizzy
My nose is congested all the time and there's this gluey secretion brand in my throat that makes it impossible for me to sleep. I often have to nap sitting down.,Hard to breath
I don't have problems taking in breath but out breath is so heavy,Hard to breath
walk foot have an well ache I my I can't in,Foot ache
morning when I wake up neck feels like slept in,Muscle pain
iodine feel something injury Maine inch pickings breath and iodine buzzword return my breath,Hard to breath
When iodine aftermath up inch the morning iodine feel angstrom tenderness inch my body,Muscle pain
I feel severe itching in the skin with redness iodine,Skin issue
been this sore well and My for two like weeks. isn't healing it's,Open wound
I feel fluid trying to come up when I cough.,Cough
When I get out of bed in the morning my body feels very weak.,Body feels weak
I broke my ankle while doing rock climbing in the Carpathians.,Injury from sports
When I tried to answer the phine I found that I can't hear the voice of the speaker,Ear ache
itch at scabies front and center of scalp,Hair falling out
All my body is in a bad case and i need a good treatment,Joint pain
hair is falling out in amount,Hair falling out
I got a divorce last year and I just can't stop angstrom dwelling on how to get revenge on my ex husband.,Emotional pain
bear squeezing I chest. have my cannot I in this sensation,Heart hurts
my difficulty having knee moving,Knee pain
The severe pain inch the stomach iodine feel,Stomach ache
hardly get I breathe feel I lungs out can like I in unless what's my,Cough
My throught be sol sore.,Neck pain
anything a in weak do I can't my body I feel,Body feels weak
After eating  I have burning sensation inside of me.,Stomach ache
When iodine eat sugar iodine notice my vision blurs.,Blurry vision
There is a sharp pain in my calve.,Muscle pain
My head ache since iodine wake up this morning.,Head ache
My sore expression like information_technology not healing well.,Infected wound
I feel increased heart rate with prick,Heart hurts
"when My eat stomach hot aches why? I food,",Stomach ache
Sometimes my body feels week without reason,Body feels weak
['I hit my hrQd at the fzsketba?l game. C*ulX I nAve a coGcuDXion?'],Injury from sports
I can't stand inch with this horrible feeling in my shoulder,Shoulder pain
severe severe pain in the upper left side of chest and may have pain to back,Heart hurts
['i was playing football and jnjkrieV DitY joKn% pain.'],Joint pain
What's the symptoms of appendicitis?,Internal pain
All my body is in a bad case and i need a good good treatment,Joint pain
"My face has broken out in painful red spots painful and lumps, that no matter how much I clean my face don't seem to be going away.",Acne
thumb I have not a split heal. that my on will,Open wound
head gets dizzy when I try to up.,Feeling dizzy
i hit the ground when trying to shoot a basketball,Injury from sports
body a in can't weak do I I my anything feel,Body feels weak
is feel inside do I pain I know not it what,Internal pain
back five than ache to less start and standing minutes my,Back pain
My son hour_angle angstrom batch of acne.,Acne
red flushes accompanied with itchy,Skin issue
Chronic disease of hair follicles and sebaceous glands,Acne
"[""I ' m not TooR i ' m fDSlinb so c(?d""]",Feeling cold
I have some pain i'm walking around my knees,Joint pain
iodine rich_person angstrom back pain since iodine hide on the floor.,Back pain
I feel feel pain in my throat,Cough
iodine My back got injured while i was lifting at the gym,Injury from sports
i can't play sports,Injury from sports
['ArFer a breakup I tSel something sYrSng# in me.'],Emotional pain
I have a feeling like my whole body is complaining body,Joint pain
The arches of my feet hurt when I wear heels,Foot ache
In highschool I had a lot of acne.,Acne
My hurts when I touch it.,Ear ache
['When I play BooFFall I UaDe joint pZOn.'],Joint pain
The feeling of coughing increases in winter's reach,Cough
chronic disease of hair follicle and greasy gland,Acne
I have blurry vision after I used a rich_person wrong medicine.,Blurry vision
['I fe3? severe i5suing in the skin QitT redness'],Skin issue
['The jerBes were so damaged du48ng the 8)efation on my an>ls that I fanno% sGqnd being touched on the sVaf.'],Foot ache
shoulder I intervals feel of time. pain at,Shoulder pain
chronic bone disease astatine the degree of the doubles of the lower_berth Estremidades,Knee pain
feel a lot of pain in the joints.,Joint pain
when hurts I My chest smoke,Internal pain
My stomach feels full and upset and bloating after big bloat meals.,Stomach ache
had a pain knee when I was swimming,Knee pain
pain because of it to and football hve cream does help apply finger I cut I but relief playing not my,Injury from sports
When I play sports  I have some burning sensation in my spine,Back pain
"[""I hXde an ear ache thqy won ' t go XwWy. I don ' t ywve a doKd or t3adacJe or any o4Ber symotohE. Judg an earache.""]",Ear ache
['tMdre is acne on my fqcw'],Acne
pain my try leg my arm to get or joint i i bend I when,Joint pain
i have a problem in my back i cannot angstrom extend it,Back pain
iodine have angstrom cold the stopping_point time iodine travel by airplane and iodine still rich_person angstrom discomfort inch my ears.,Ear ache
had and I accident wound an was my to hospital when arrived I open,Open wound
My head hurts when I'm doing this.,Head ache
"['EvFr6 tUms I make an $ffott, I Del4 dizzy.']",Feeling dizzy
The severe pain in the stomach I feel,Stomach ache
I wish this excruciating feeling of loss could go away.,Emotional pain
I've been my cold for weeks still cough every day.,Cough
['Feel like eomFthihg is being Mabb#d into my jKimts'],Joint pain
with vertigo I head feel a my in pain,Head ache
Every time comb my there are many hair in my,Hair falling out
"I am worried how cold intolerant I am, I am always shivering, even out in the sun.",Feeling cold
I feel hurts in my heart,Heart hurts
relief is to pain but have pain my a help. I sharp in does cream bicep. it There apply not tried,Muscle pain
I get terrible headaches every few months and when I get them my vision is affected.,Head ache
refrigerator. it's a feels My in like body,Feeling cold
i vision. have i ride because at blurry my night car can't,Blurry vision
rib and a powerful pain inside my cage strange feel I,Heart hurts
I can't sleep I have a hard cough,Cough
My knees seem to grind up as I go up or down stairs.,Knee pain
"['suEgicWK w8unCs red, firing pus, paibTu: and hot to the Goucu']",Infected wound
The suppression sensation on my heart leaf Maine breathless.,Heart hurts
iodine rich_person Associate_in_Nursing indigestion,Stomach ache
hardly I my hurts. move can neck. It,Neck pain
When iodine base up excessively quickly iodine start to feel dizzy and faint,Feeling dizzy
My neck feels,Neck pain
acne out and clears up.,Acne
"It is hard to breath breath when I am in the underground metro station, why?",Hard to breath
I feel so inch sore in my stomach area.,Stomach ache
I have a head pain every single day.,Internal pain
I had internal pain and gases when I ate indian spicy food yesterday Ate,Internal pain
I have a scab on the back of my hand that just won't go away.,Skin issue
My ear injury when iodine touch it.,Ear ache
i had exercise I yesterday of pains feel sharp muscle so alot,Muscle pain
Whenever I stand up feel dizzy.,Feeling dizzy
iodine rich_person angstrom pain inch my trap,Muscle pain
red flushes accompanied with itchy,Skin issue
iodine rich_person bleary vision after iodine use angstrom wrong medicine.,Blurry vision
I can`t stop coughing.,Cough
Burns My muscle in my shoulder burns when I move my arm.,Muscle pain
ankle joint throbs when I put pressure on my foot.,Joint pain
I have cloudy eyes,Blurry vision
My face is all broken out with pimples.,Acne
feel a great pain in shoulder i try to lift something heavy,Shoulder pain
to try my I head. when shoulder above My hurts something reach,Shoulder pain
My heart is pumping fast and I'm having a hard time to breath.,Hard to breath
can't any ache a thing great have eat and i I stomach,Stomach ache
Since I went the have pain on my ear,Ear ache
My ear be ringing.,Ear ache
['I jSve a dry thr9a$'],Cough
every time information_technology rain iodine get urtication on my abdomen and sides.,Skin issue
I have a pain in my head head,Head ache
"['i EWel hkr6, lot of (aiG in my heart']",Emotional pain
The severe pain in the stomach,Stomach ache
"['I have a b9ot afge in winter, or wJsn it beeps cklF, why?']",Foot ache
Pain in the large neck,Neck pain
iodine visit many doctor merely they can't discovery the right treatment toget my hair back,Hair falling out
son nicked his neck with an old and become inflamed and looks like it is infected.,Infected wound
I feel pain in my joint joint after an injury in the last football match I played.,Joint pain
['My emGire god& is freezing.'],Feeling cold
Everything like beeing in a smoky area.,Blurry vision
['I feel Kik# my h3ar$ is on f8rd.'],Heart hurts
I can't do anything I feel a weak in my body,Body feels weak
iodine don't rich_person the energy to bash the things that iodine use to,Body feels weak
My foot had been aching since last Tuesday.,Foot ache
When I lift my arms up I soreness in my,Shoulder pain
The suppression sensation on my heart leaf Maine breathless.,Heart hurts
i have difficulty moving my neck,Neck pain
After eating  I have burning sensation inside of me.,Stomach ache
"I think there's wrong with my wound, it does not seem to heal it should.",Infected wound
['My arm hHrHs when I etr#tfh'],Muscle pain
My body feels weak and I tried to make it relax but it stills pain me,Body feels weak
for in back sit I pain a chair on a when feel long. I my,Back pain
"iodine can't base up, iodine feel my brain be travel inside my skull.",Head ache
iodine cannot breathe because of this dull ache below my left shoulder.,Heart hurts
Feel like something is being jabbed into my joints,Joint pain
My back injury sol much iodine can't bend down to necktie my shoelaces.,Back pain
"Every time I make an effort, iodine I felt dizzy.",Feeling dizzy
['I fes< fIu*d trying to c(mr up wteM I cough.'],Cough
i can hardly breathe,Hard to breath
['I hSBe a break in the sOiJ inD7de one of my mod6rils thz% has hevome infected and is now filled s7th pus.'],Infected wound
i have dry cough,Cough
I'm suffering from cough Accompanied phlegm,Cough
iodine rich_person some awful problem when i'm breathing during the night.,Cough
have on my pimples back. I,Acne
It hardly I move hurts. neck. my can,Neck pain
Stomach pain after drinking after milk,Stomach ache
When i'm make sport iodine rich_person pain nether my skin,Muscle pain
['My son had his lip oiervfd and it is Awplleg and the sOiG lnsiwe on his lip is grSH and loolE inffctws.'],Infected wound
I feel like like my heart is on fire.,Heart hurts
['I fwRl a pZib in my Gavk Quen I sit on a cYaur for long.'],Back pain
iodine rich_person volcanic_eruption on my face that semen and go .,Acne
I've been feeling very sad lately,Emotional pain
['I NSve shooting pXJn in my kneecap af6rr @oFkiHg out.'],Knee pain
"['My hair is fomimg out in chunks, 3spesiaOly aNen I Dasj it']",Hair falling out
i breathe can hardly breathe,Hard to breath
I cannot get warm no get matter how much I wrap up or how high I put the heating on,Feeling cold
My neck hour_angle be sore since the accident.,Neck pain
i have difficulty moving my neck,Neck pain
I have a cold and it makes me cough alot,Cough
I'm not feeling good I take my breath,Hard to breath
iodine feel angstrom tenderness inch my knee when iodine walk,Joint pain
['My hzig is GaKlinV out in Vhgches.'],Hair falling out
iodine rich_person angstrom rash on my skin,Skin issue
there is acne face on my face,Acne
I have constant stomach pain and bloating.,Internal pain
itchy with accompanied flushes red,Skin issue
I an internal pain I cannot,Internal pain
My heart feels like it's going to explode.,Heart hurts
My foot hurts me a lot of playing football,Foot ache
"My mind feels sad, as if it hurts. The way I feel in my head is awful and when I think about my break-up, I cry with sadness.",Emotional pain
to I warm Even when just feel warm. can't cold. I me around always everyone get is seem,Feeling cold
Is pimples a skin disease? pimple,Acne
the not skin I break a will between and it have in close. finger and index thumb my,Open wound
I walk every now I get of breath going only a short way.,Hard to breath
there a cure for acne?,Acne
close. I try noticed in an decrease things my important to up vision when I at look,Blurry vision
['I haF$ a paug in my J tscle'],Muscle pain
iodine complain alot with my neck pain and iodine truly need to beryllium better,Neck pain
My muscles feel tired,Body feels weak
I got injured exercising,Injury from sports
sebaceous disease glands. hair chronic of follicles and,Acne
i can't breath because of Cough,Cough
to stand I start and When feel quickly too I light-headed dizzy up,Feeling dizzy
"when i get up, i feel dizzy and fall down.",Feeling dizzy
"['I Cedl pain in my bav,']",Back pain
My body feels weak and I tried to relax make it relax but it stills pain me,Body feels weak
['I notoFe a lot mo5f hair coming out Hhzn usual Dnen I brush my hZi#'],Hair falling out
stop I can't coughing,Cough
My son had a root canal and the dentist accidentally cut the inside of his cheek and now it will not heal.,Infected wound
have split on thumb that will not heal.,Open wound
['My FhTouBht is so aor2.'],Neck pain
"can't do any exercise, i feel weak",Body feels weak
There is pain in my joints. I can not bear pain,Joint pain
My knee swell right below the knee cap and injury when iodine put_option weight on them.,Knee pain
My stomach feels full and feel upset and bloating after big meals.,Stomach ache
"injury often an Annoyance suddenly, or exercise. after starts",Knee pain
I hate my acne.,Acne
my body is in a bad case i need a good treatment,Joint pain
can't breath because of Cough,Cough
['I f#e: pain in my r&gh5 shoulder aftrD the tennis Natct.'],Injury from sports
iodine rich_person angstrom sharp pain inch my ear,Ear ache
['The fG^shing sensation on my h@ary l2zves me breathless.'],Heart hurts
moving by inability right or to left except whole look the body stiffness,Neck pain
When iodine base iodine feel dizzy iodine bash not know why,Feeling dizzy
when i raise my hand i feel in shoulder.,Shoulder pain
['When I stsnw up too Wuifk;y I start to feel vizAy and lignf - heawes'],Feeling dizzy
"My hair be approach out inch chunks, particularly when iodine wash information_technology",Hair falling out
What's the symptoms appendicitis?,Internal pain
was playing the last kicked night. soccer head I in,Injury from sports
I feel pain in my eyes I can see fog,Blurry vision
My heart be pump fast and I'm have angstrom difficult time to breath.,Hard to breath
severe pain the upper left side of chest and may have pain to back,Heart hurts
My knee injury when iodine walk,Knee pain
I got a divorce last year and I just can't stop dwelling on how to get revenge on my ex husband.,Emotional pain
"I think there's wrong with my wound, it does not seem to like should.",Infected wound
Feels like there there are pins and needles sticking in my joints,Joint pain
severe i diarrhea after dizzy feel,Feeling dizzy
I my heart on fire.,Heart hurts
['I get Vhilld and acgws all *der.'],Feeling cold
have a I pain I sit laptop. in-front of my neck when,Neck pain
his had My grey swollen on looks pierced son is lip and skin his is the lip inside and infected. and it,Infected wound
Sometimes I feel like a claw on my chest that leaves me breathless.,Hard to breath
My lower back hurts but it improves if I back stretch it,Muscle pain
When I force eyes to view I have blurry vision.,Blurry vision
I since fell have back the pain a I floor. on,Back pain
['My grandmother last y#Wr went to ypspiral because she was having a hstd ^im# bdeatGijg'],Hard to breath
When I football I have muscle pain.,Muscle pain
['I fe3I vf#y 3wak in my body'],Body feels weak
['I taye my achr.'],Acne
"['qgen I AaPk up a flight of Etaifs, my eibht knee yurHs.']",Knee pain
I think I sprained my it hurts.,Injury from sports
i have a pain in my trapes,Muscle pain
"hardly enough have to stength get I up,",Body feels weak
"iodine americium fight to bear weight on my knee, when iodine base heterosexual iodine feel and hear angstrom loud pop noise.",Knee pain
iodine feel angstrom bone-on-bone pain inch my knee when iodine ascent stairs.,Joint pain
iodine rich_person angstrom cut that hour_angle become red and sludge puss.,Infected wound
['I have vivficultu in breathing in dFoQded placDz.'],Hard to breath
along abdomen cramps whole the,Stomach ache
When iodine go to sleep iodine americium feeling cold,Feeling cold
My neck is annoying me I can't sleep bacause of it,Neck pain
I for dia,Heart hurts
I cut my foot at the pool and it breaks open every day when I walk on it.,Open wound
in do I weak my feel I a body can't anything,Body feels weak
I carried a heavy bag yesterday and when I get up transport today I felt a great shoulder pain.,Shoulder pain
hearing. I'm time a hard having,Ear ache
kneecap feels it is grating on when I walk.,Knee pain
I have a neck pain when I sit in-front of my laptop.,Neck pain
['My son had his lip poerc@w and it is swpl;ej and the skKM unsid# on his lip is Nrej and looUw inVectSX.'],Infected wound
iodine read angstrom book for along time and when iodine complete reading iodine feel head ache,Head ache
['my qnMle is hJeRing me'],Joint pain
"Sometimes when it is cold outside, my face hurts, especially around the pimples that are ready to pop.",Acne
feel crushed I emotionally,Emotional pain
"['i have sYouldFT pain after doing any h9,e 2Krk.']",Shoulder pain
hit I feel strong pain in my knee after it was hit during the football match.,Injury from sports
stand can't with I feeling my horrible in this shoulder,Shoulder pain
My foot hurts me a lot of playing football,Foot ache
My chest acne breaks out out and never clears up.,Acne
day. pain single head every a I have,Internal pain
"[""!heG i ' m driving my et$s see in do7Gle""]",Blurry vision
my hair fall out,Hair falling out
my ear hurts me ear badly,Ear ache
i can't move my shoulder because of pain,Shoulder pain
"i need have whooping cough with excess mucous, need mucolytic.",Cough
good I'm not good i feel dizzy,Feeling dizzy
every pain move I time feel joint I,Joint pain
I have a scab the back of my hand that just won't away.,Skin issue
When I stand up too quickly I feel as though I'm going to faint.,Feeling dizzy
I have a split my thumb that will not heal.,Open wound
"['Lxc#rat7on, Eup$urW or opening in the skjh']",Open wound
can't well,Blurry vision
I feel a great pain in my shoulder when i try to pain lift something heavy,Shoulder pain
When iodine eat iodine feel my stomach injury,Stomach ache
I get big patches of irritated pimples on my back and they hurt.,Acne
iodine rich_person angstrom strong shoulder pain,Shoulder pain
heart feels like it's to explode.,Heart hurts
iodine get chill and ache all over.,Feeling cold
"[""I ciuIdn ' t Ehop shak8Bt or unslegvh my jaw, thzG ' s how copX I was.""]",Feeling cold
When I tried to be warm and wear more clothes wear I found that I was still cold,Feeling cold
iodine feel pain inch my joint after Associate_in_Nursing injury inch the stopping_point football match iodine played.,Joint pain
I'm have angstrom difficult time hearing.,Ear ache
information_technology feel like my heart be departure to leap out of my body. information_technology hurts.,Heart hurts
"[""I can ' t walk Sel. I bav4 an zcYe in my ro(t""]",Foot ache
iodine rich_person angstrom rash and information_technology scabies very bad.,Skin issue
When I wake up in the morning I feel a soreness in my body,Muscle pain
I have a red rash that is itchy on my skin on,Skin issue
When I stand up too quickly I start to feel dizzy and light-headed,Feeling dizzy
I have shooting pain in my kneecap after working out.,Knee pain
I'm having a hard time hearing.,Ear ache
My body feel like it's inch angstrom refrigerator.,Feeling cold
every time information_technology rain iodine get urtication on my abdomen and sides.,Skin issue
The warming system of my house is broken and  feel so cold,Feeling cold
I think I overdid when I carried that lumber from yard. lower back is,Back pain
around doesn't feel good.,Heart hurts
I feel like I went to an acupuncture's practice and had 100 needles in my shoulder,Shoulder pain
"I can't out of my ear properly, I like there is something it",Ear ache
['I Reeo ctrony pain in my knee Wf5er it was hit x7ring the football kZtch.'],Injury from sports
my,Hair falling out
My body feels weak and I tried to make it relax but it stills pain me,Body feels weak
"the worried even I cold how sun. in am am shivering, intolerant always I am, out I",Feeling cold
['i fe2: pain in my foK6'],Foot ache
My son got a tattoo several weeks ago and the skin around it is raised and hot and it looks infected.,Infected wound
I love to garden but I get a terrible twinge in my lower back when I lean over.,Back pain
I heart pain when I walk a lot,Heart hurts
cloudy have eyes I,Blurry vision
['Whdh I was ykkng I had an lJjury C4om sLo%ts in my knee.'],Injury from sports
How do you know if you have a torn meniscus in your knee?,Knee pain
['WhdB I think of my parents I f$wl pxim'],Emotional pain
my itches It inside ears.,Ear ache
"through At but needles numb, thousand prick then a start to really my first it foot. feels",Foot ache
iodine get Associate_in_Nursing ear ache when information_technology be cold,Ear ache
My patella feel like information_technology be grate bone on bone when iodine walk.,Knee pain
I over. garden when my to in back I love lower I twinge terrible a lean but get,Back pain
"I get tired too fast, I can barely put on my clothes in the morning.",Body feels weak
burning line across back with hard respiratory movements,Back pain
"short I The and now them I time nail. too have I cut clipped my last toenails, an infected",Infected wound
I have a sharp pain in my ear,Ear ache
I've been over my cold for weeks but still cough every day.,Cough
My head be spinning when iodine get up.,Feeling dizzy
Sharp pain and breathing,Internal pain
My hair always falls out and iodine rich_person doomed angstrom batch of hair recently,Hair falling out
cough Have cold severe and,Cough
iodine rich_person severe dry cough,Cough
some terrible when i'm breathing during the night.,Cough
['I can hqrdlt move my H$ck. It hkr5s.'],Neck pain
i have a problem in seeing objects it is too difficult to see,Blurry vision
iodine feel sad like injury Oregon pain,Emotional pain
I have a problem in the expiration because i have abronchial asthma,Hard to breath
After an hard working day I have foot ache,Foot ache
though Even though I'm an adult my face keeps breaking out in pimples.,Acne
neck have my in a sharp I pain,Neck pain
i was travelling by ship and i feel dizzy.,Feeling dizzy
When iodine force my eyes to position iodine rich_person bleary vision.,Blurry vision
iodine rich_person angstrom pain that radiate up from my right hip to my rib cage. information_technology be astatine it's worst when iodine urinate.,Internal pain
There is a tingling sensation in my neck.,Neck pain
I feel a walk soreness in my knees when I walk,Joint pain
My lower back hurts but it improves if I stretch it,Muscle pain
My husband has a on his that he though was cold sore but now it has open and leaks fluid,Infected wound
clicks shoulder I right when move my arm. My,Shoulder pain
iodine rich_person angstrom feeling like my whole body be complain,Joint pain
left my left side aches much,Internal pain
I had a pain in my knee when I was,Knee pain
I sports because I get Injury from sports,Injury from sports
I have a head pain every single day.,Internal pain
['Wteb I eat sugar I noY&ce my vision blugX.'],Blurry vision
"After have playing tennis, I had a powerful sensation close to my neck",Shoulder pain
I can't really jump on my left foot because my triple fracture of the ankle left me with neverending pains.,Foot ache
lungs feel heavy like they are filled mucus,Cough
I can`t stop coughing.,Cough
When i get up i see my skin vague,Skin issue
I dizzy whenever I stand up.,Feeling dizzy
When iodine think of my parent iodine feel pain,Emotional pain
I get clusters of whiteheads and blackheads on my back.,Acne
I think there's fluid in my ears. iodine,Ear ache
